Latitude,Longitude,Nationality,Year,LogbookLanguage,VoyageIni
19.3,-67.15,Spanish,1786,Spanish,1.79E+07
19.9,-69.15,Spanish,1786,Spanish,1.79E+07
-27.4667,-46.4167,Spanish,1776,Spanish,1.78E+07
-27.7667,-47.2667,Spanish,1776,Spanish,1.78E+07
-27.8167,-47.9333,Spanish,1776,Spanish,1.78E+07
-26.2333,-46.4667,Spanish,1776,Spanish,1.78E+07
-61.05,-67.9167,Spanish,1790,Spanish,1.79E+07
-59.9333,-73.8833,Spanish,1790,Spanish,1.79E+07
-60.1833,-78.5167,Spanish,1790,Spanish,1.79E+07
-60.8167,-78.9833,Spanish,1790,Spanish,1.79E+07
-26.45,-46.7833,Spanish,1777,Spanish,1.78E+07
-26.7833,-46.9,Spanish,1777,Spanish,1.78E+07
19.2333,-48.7833,Spanish,1777,Spanish,1.78E+07
18.8833,-50.4333,Spanish,1777,Spanish,1.78E+07
18.75,-52.35,Spanish,1777,Spanish,1.78E+07
18.5833,-54.9,Spanish,1777,Spanish,1.78E+07
18.4333,-57.1333,Spanish,1777,Spanish,1.78E+07
18.2667,-60.5333,Spanish,1777,Spanish,1.78E+07
18.1667,-63.1667,Spanish,1777,Spanish,1.78E+07
44.6,-13.2167,Spanish,1776,Spanish,1.78E+07
44.8667,-12.6,Spanish,1776,Spanish,1.78E+07
46,-11.5,Spanish,1776,Spanish,1.78E+07
45.9667,-11.7167,Spanish,1776,Spanish,1.78E+07
44.4,-12.1167,Spanish,1776,Spanish,1.78E+07
30.1,-80.65,Spanish,1778,Spanish,1.78E+07
30.65,-78.6833,Spanish,1778,Spanish,1.78E+07
44.5,-10.3667,Spanish,1776,Spanish,1.78E+07
44.5833,-9.25,Spanish,1776,Spanish,1.78E+07
18.75,-65.5833,Spanish,1777,Spanish,1.78E+07
19.5167,-68.9167,Spanish,1777,Spanish,1.78E+07
20.0833,-70.9167,Spanish,1777,Spanish,1.78E+07
20.9833,-74.5833,Spanish,1777,Spanish,1.78E+07
42.05,-13.3167,Spanish,1777,Spanish,1.78E+07
40.5333,-17.1833,Spanish,1777,Spanish,1.78E+07
29.9167,-28.2333,Spanish,1777,Spanish,1.78E+07
28.3,-29.9833,Spanish,1777,Spanish,1.78E+07
26.9833,-31.5,Spanish,1777,Spanish,1.78E+07
43.4667,-10.05,Spanish,1776,Spanish,1.78E+07
43.8167,-11.0167,Spanish,1776,Spanish,1.78E+07
43.5,-10.1167,Spanish,1776,Spanish,1.78E+07
42.7833,-10.3333,Spanish,1776,Spanish,1.78E+07
43.8667,-10.2833,Spanish,1776,Spanish,1.78E+07
43.1667,-10.1,Spanish,1776,Spanish,1.78E+07
44.3667,-9.56667,Spanish,1776,Spanish,1.78E+07
43.85,-8.85,Spanish,1776,Spanish,1.78E+07
42.8333,-26.65,Spanish,1777,Spanish,1.78E+07
42.8333,-26.65,Spanish,1777,Spanish,1.78E+07
42.45,-26.0167,Spanish,1777,Spanish,1.78E+07
43.35,-25.3833,Spanish,1777,Spanish,1.78E+07
43.2,-22.2,Spanish,1777,Spanish,1.78E+07
43.2333,-19.5667,Spanish,1777,Spanish,1.78E+07
43.1833,-18.0667,Spanish,1777,Spanish,1.78E+07
43.2833,-15.9667,Spanish,1777,Spanish,1.78E+07
43.6,-13.2,Spanish,1777,Spanish,1.78E+07
43.55,-10.3,Spanish,1777,Spanish,1.78E+07
43.9167,-12.5167,Spanish,1776,Spanish,1.78E+07
43.5,-12.8,Spanish,1776,Spanish,1.78E+07
44.0333,-14.0167,Spanish,1776,Spanish,1.78E+07
