Latitude,Longitude,Nationality,Year,LogbookLanguage,VoyageIni
-36.6167,34.3833,Dutch,1792,Dutch,1.79E+07
-36.7,36.6667,Dutch,1792,Dutch,1.79E+07
-30.9167,-20.5667,Dutch,1792,Dutch,1.79E+07
48.8,-8.06667,Dutch,1791,Dutch,1.79E+07
47.3667,-10.0833,Dutch,1791,Dutch,1.79E+07
-35.9333,50.05,Dutch,1792,Dutch,1.79E+07
-29.4833,93.3667,Dutch,1792,Dutch,1.79E+07
-28.45,95.2833,Dutch,1792,Dutch,1.79E+07
-27.45,96.1333,Dutch,1792,Dutch,1.79E+07
15.5667,-35.3167,Dutch,1763,Dutch,1.76E+07
14.15,-37.4,Dutch,1763,Dutch,1.76E+07
12.9833,-38.0167,Dutch,1763,Dutch,1.76E+07
11.5333,-39.3833,Dutch,1763,Dutch,1.76E+07
10.65,-40.4333,Dutch,1763,Dutch,1.76E+07
10.2833,-40.2667,Dutch,1763,Dutch,1.76E+07
29.55,-47.8167,Dutch,1827,Dutch,1.83E+07
29.75,-44.5333,Dutch,1827,Dutch,1.83E+07
29.75,-42.4833,Dutch,1827,Dutch,1.83E+07
30.1833,-40.8667,Dutch,1827,Dutch,1.83E+07
29.1667,-39.1167,Dutch,1827,Dutch,1.83E+07
26.9,-36.65,Dutch,1827,Dutch,1.83E+07
25.4,-35.4667,Dutch,1827,Dutch,1.83E+07
25.0333,-35.15,Dutch,1827,Dutch,1.83E+07
24.6333,-34.2167,Dutch,1827,Dutch,1.83E+07
24.2167,-32.6667,Dutch,1827,Dutch,1.83E+07
24.1167,-30.6667,Dutch,1827,Dutch,1.83E+07
22.0833,-29.8333,Dutch,1827,Dutch,1.83E+07
20.0833,-29.45,Dutch,1827,Dutch,1.83E+07
19.25,-29.4333,Dutch,1827,Dutch,1.83E+07
17.9,-28.7333,Dutch,1827,Dutch,1.83E+07
16.3667,-26.8833,Dutch,1827,Dutch,1.83E+07
14.4,-24.7667,Dutch,1827,Dutch,1.83E+07
11.2,-23.6833,Dutch,1827,Dutch,1.83E+07
9.13333,-22.8333,Dutch,1827,Dutch,1.83E+07
-21.3167,-32.75,Dutch,1827,Dutch,1.83E+07
-35.3167,-54.8167,Dutch,1827,Dutch,1.83E+07
-35.95,-56.1833,Dutch,1827,Dutch,1.83E+07
-35.9667,-56.8167,Dutch,1827,Dutch,1.83E+07
-35.7833,-56.85,Dutch,1827,Dutch,1.83E+07
-35.45,-56.5667,Dutch,1827,Dutch,1.83E+07
1.85,-16.5,Dutch,1842,Dutch,1.84E+07
1.81667,-16.7667,Dutch,1842,Dutch,1.84E+07
0.783333,-18.2167,Dutch,1842,Dutch,1.84E+07
0.3,-18.4667,Dutch,1842,Dutch,1.84E+07
-1.71667,-19.9833,Dutch,1842,Dutch,1.84E+07
-3.66667,-20.75,Dutch,1842,Dutch,1.84E+07
-22.3333,-30.6833,Dutch,1842,Dutch,1.84E+07
-23.9167,-31.9167,Dutch,1842,Dutch,1.84E+07
-25.0667,-33.0333,Dutch,1842,Dutch,1.84E+07
-26.3,-32.7167,Dutch,1842,Dutch,1.84E+07
-27.2,-30.55,Dutch,1842,Dutch,1.84E+07
-28.1833,-27.3333,Dutch,1842,Dutch,1.84E+07
-28.25,-24,Dutch,1842,Dutch,1.84E+07
-29,-21.9333,Dutch,1842,Dutch,1.84E+07
-29.1833,-20.5833,Dutch,1842,Dutch,1.84E+07
-29.4833,-18.05,Dutch,1842,Dutch,1.84E+07
-30.1833,-15.4,Dutch,1842,Dutch,1.84E+07
-30.2667,-13.6833,Dutch,1842,Dutch,1.84E+07
-30.4333,-13.05,Dutch,1842,Dutch,1.84E+07
-30.85,-10.8167,Dutch,1842,Dutch,1.84E+07
-30.3667,-10.0167,Dutch,1842,Dutch,1.84E+07
-30.85,-10.0667,Dutch,1842,Dutch,1.84E+07
-31.4667,-9.31667,Dutch,1842,Dutch,1.84E+07
-30.85,-7.16667,Dutch,1842,Dutch,1.84E+07
-30.4,-7.03333,Dutch,1842,Dutch,1.84E+07
-31.1333,-6.16667,Dutch,1842,Dutch,1.84E+07
-31.3,-3.11667,Dutch,1842,Dutch,1.84E+07
-30.2833,-0.65,Dutch,1842,Dutch,1.84E+07
-13.8667,93.3,Dutch,1842,Dutch,1.84E+07
-15.2167,90.4667,Dutch,1842,Dutch,1.84E+07
-16.4,87.7,Dutch,1842,Dutch,1.84E+07
-17.6,84.6667,Dutch,1842,Dutch,1.84E+07
-18.8167,81.75,Dutch,1842,Dutch,1.84E+07
-20.25,78.6333,Dutch,1842,Dutch,1.84E+07
-21.4833,75.7667,Dutch,1842,Dutch,1.84E+07
-22.6167,72.7,Dutch,1842,Dutch,1.84E+07
-23.25,70.5167,Dutch,1842,Dutch,1.84E+07
-24.0667,68.3167,Dutch,1842,Dutch,1.84E+07
-24.6333,67.3,Dutch,1842,Dutch,1.84E+07
-25.2,66.1667,Dutch,1842,Dutch,1.84E+07
-25.9833,64.1667,Dutch,1842,Dutch,1.84E+07
-26.5667,61.35,Dutch,1842,Dutch,1.84E+07
-26.85,60.05,Dutch,1842,Dutch,1.84E+07
-27.2167,57.2667,Dutch,1842,Dutch,1.84E+07
-27.6167,55.2667,Dutch,1842,Dutch,1.84E+07
-27.9333,54.8833,Dutch,1842,Dutch,1.84E+07
-28.5667,52.7667,Dutch,1842,Dutch,1.84E+07
-29.2,49.8833,Dutch,1842,Dutch,1.84E+07
-30.2833,46.7333,Dutch,1842,Dutch,1.84E+07
-31.1667,44.5833,Dutch,1842,Dutch,1.84E+07
-30.5667,43.3,Dutch,1842,Dutch,1.84E+07
-30.9833,42.4167,Dutch,1842,Dutch,1.84E+07
-31.8333,41.3333,Dutch,1842,Dutch,1.84E+07
-32.35,39.8,Dutch,1842,Dutch,1.84E+07
-32.7667,37.8,Dutch,1842,Dutch,1.84E+07
-32.6,35.6667,Dutch,1842,Dutch,1.84E+07
-24.5667,3.2,Dutch,1842,Dutch,1.84E+07
-22.6167,1.05,Dutch,1842,Dutch,1.84E+07
-20.5167,-1.26667,Dutch,1842,Dutch,1.84E+07
-18.7833,-3.13333,Dutch,1842,Dutch,1.84E+07
-17.4167,-4.31667,Dutch,1842,Dutch,1.84E+07
-15,-7,Dutch,1842,Dutch,1.84E+07
-13.9667,-8.35,Dutch,1842,Dutch,1.84E+07
-12.6833,-9.86667,Dutch,1842,Dutch,1.84E+07
-11.4,-11.1667,Dutch,1842,Dutch,1.84E+07
-9.81667,-12.5833,Dutch,1842,Dutch,1.84E+07
29.95,-34.9833,Dutch,1843,Dutch,1.84E+07
31.3833,-35.5167,Dutch,1843,Dutch,1.84E+07
32.7833,-36.25,Dutch,1843,Dutch,1.84E+07
34.6,-36.6333,Dutch,1843,Dutch,1.84E+07
36.0167,-36.7167,Dutch,1843,Dutch,1.84E+07
37.2333,-35.3167,Dutch,1843,Dutch,1.84E+07
38.7167,-33.1667,Dutch,1843,Dutch,1.84E+07
40.0833,-29.5,Dutch,1843,Dutch,1.84E+07
41.85,-25.9,Dutch,1843,Dutch,1.84E+07
42.7333,-23.2333,Dutch,1843,Dutch,1.84E+07
43.7,-19.9667,Dutch,1843,Dutch,1.84E+07
45.0333,-16.6,Dutch,1843,Dutch,1.84E+07
46.8167,-13.3167,Dutch,1843,Dutch,1.84E+07
47.9833,-10.3,Dutch,1843,Dutch,1.84E+07
48.7333,-7.56667,Dutch,1843,Dutch,1.84E+07
-37.8167,75.9667,Dutch,1825,Dutch,1.83E+07
-37.6833,77.3167,Dutch,1825,Dutch,1.83E+07
-36.5,80.6333,Dutch,1825,Dutch,1.83E+07
-34.75,84.3833,Dutch,1825,Dutch,1.83E+07
39.0833,-49.3,Dutch,1825,Dutch,1.83E+07
40.1833,-43.1667,Dutch,1825,Dutch,1.83E+07
46.85,-9.09333,Dutch,1825,Dutch,1.83E+07
5.41667,-22.3333,Dutch,1825,Dutch,1.83E+07
3.81667,-16.8667,Dutch,1825,Dutch,1.83E+07
3.55,-15.7,Dutch,1825,Dutch,1.83E+07
2.68333,-19.7167,Dutch,1825,Dutch,1.83E+07
-1.13333,-19.95,Dutch,1825,Dutch,1.83E+07
-2.88333,-21.55,Dutch,1825,Dutch,1.83E+07
-4.48333,-23.0333,Dutch,1825,Dutch,1.83E+07
-5.96667,-24.4667,Dutch,1825,Dutch,1.83E+07
-7.71667,-25.7167,Dutch,1825,Dutch,1.83E+07
-9.96667,-29.9667,Dutch,1825,Dutch,1.83E+07
-18.7333,-26.6,Dutch,1825,Dutch,1.83E+07
-20.8,-26.25,Dutch,1825,Dutch,1.83E+07
-23.35,-25.5667,Dutch,1825,Dutch,1.83E+07
-25.1167,-24.6833,Dutch,1825,Dutch,1.83E+07
-27.8333,-26.8833,Dutch,1825,Dutch,1.83E+07
-30.8667,-25.4667,Dutch,1825,Dutch,1.83E+07
-32.4167,-17.3667,Dutch,1825,Dutch,1.83E+07
0.1,-18.1333,Dutch,1825,Dutch,1.83E+07
-33.95,-10.9333,Dutch,1825,Dutch,1.83E+07
-33.9833,-8.73333,Dutch,1825,Dutch,1.83E+07
46.4333,-9.71667,Dutch,1825,Dutch,1.83E+07
29.7833,-40.1967,Dutch,1825,Dutch,1.83E+07
48.9167,-7.43333,Dutch,1760,Dutch,1.76E+07
47.9,-15.5667,Dutch,1759,Dutch,1.76E+07
35.1833,-47.8667,Dutch,1759,Dutch,1.76E+07
29.8833,-65.9834,Dutch,1759,Dutch,1.76E+07
-6.66667,-15.4167,Dutch,1849,Dutch,1.85E+07
29.6333,-49.2,Dutch,1791,Dutch,1.79E+07
41.1833,-14.9667,Dutch,1791,Dutch,1.79E+07
40.9333,-15.15,Dutch,1791,Dutch,1.79E+07
41.7667,-14.8,Dutch,1791,Dutch,1.79E+07
42.6667,-14.55,Dutch,1791,Dutch,1.79E+07
44.2667,-14.4833,Dutch,1791,Dutch,1.79E+07
46.1667,-13.8,Dutch,1791,Dutch,1.79E+07
47.6167,-12.05,Dutch,1791,Dutch,1.79E+07
48.06,-13.4167,Dutch,1791,Dutch,1.79E+07
48.5,-11.6,Dutch,1791,Dutch,1.79E+07
49.6333,-11.4,Dutch,1791,Dutch,1.79E+07
49.7667,-10.6167,Dutch,1791,Dutch,1.79E+07
49.45,-9.86667,Dutch,1791,Dutch,1.79E+07
49.45,-9.98333,Dutch,1791,Dutch,1.79E+07
49.3833,-7.2,Dutch,1791,Dutch,1.79E+07
-2.26667,-18.6333,Dutch,1839,Dutch,1.84E+07
-1.46667,-18.9333,Dutch,1839,Dutch,1.84E+07
-0.333333,-19.9833,Dutch,1839,Dutch,1.84E+07
0.333333,-19.3,Dutch,1839,Dutch,1.84E+07
1.6,-18.95,Dutch,1839,Dutch,1.84E+07
38.7833,-36.6333,Dutch,1839,Dutch,1.84E+07
40.95,-33.7167,Dutch,1839,Dutch,1.84E+07
43.0667,-32.5,Dutch,1839,Dutch,1.84E+07
43.8667,-32.1167,Dutch,1839,Dutch,1.84E+07
45.7667,-31.25,Dutch,1839,Dutch,1.84E+07
47.4,-28.5667,Dutch,1839,Dutch,1.84E+07
48.7833,-26.6667,Dutch,1839,Dutch,1.84E+07
46.9,-25.8333,Dutch,1839,Dutch,1.84E+07
47.6333,-21.8167,Dutch,1839,Dutch,1.84E+07
48.25,-16.85,Dutch,1839,Dutch,1.84E+07
48.4667,-14.0167,Dutch,1839,Dutch,1.84E+07
48.5,-12.1667,Dutch,1839,Dutch,1.84E+07
47.1833,-10.5833,Dutch,1839,Dutch,1.84E+07
48.7,-10.75,Dutch,1839,Dutch,1.84E+07
48.9333,-9.63333,Dutch,1839,Dutch,1.84E+07
49.3333,-5.43333,Dutch,1839,Dutch,1.84E+07
49.9333,-2.96667,Dutch,1839,Dutch,1.84E+07
50.2833,-1.5,Dutch,1839,Dutch,1.84E+07
50.6667,-0.1,Dutch,1839,Dutch,1.84E+07
5.91667,-18.7667,Dutch,1837,Dutch,1.84E+07
5.91667,-18.7667,Dutch,1837,Dutch,1.84E+07
5.85,-17.4333,Dutch,1837,Dutch,1.84E+07
11.1617,-25.1033,Dutch,1840,Dutch,1.84E+07
8.69333,-23.9467,Dutch,1840,Dutch,1.84E+07
7.195,-24.4983,Dutch,1840,Dutch,1.84E+07
6.54,-24.0617,Dutch,1840,Dutch,1.84E+07
21.8333,-37.5667,Dutch,1840,Dutch,1.84E+07
18.0333,-58.4333,Dutch,1832,Dutch,1.83E+07
15.9667,-57.7,Dutch,1832,Dutch,1.83E+07
13.8,-56.7333,Dutch,1832,Dutch,1.83E+07
13.4833,-56.5167,Dutch,1832,Dutch,1.83E+07
14.2333,-55.8667,Dutch,1832,Dutch,1.83E+07
11.6,-54.8167,Dutch,1832,Dutch,1.83E+07
9.36667,-54.3667,Dutch,1832,Dutch,1.83E+07
35.6,-15.8,Dutch,1831,Dutch,1.83E+07
33.4,-16.8767,Dutch,1831,Dutch,1.83E+07
31.7083,-16.6367,Dutch,1831,Dutch,1.83E+07
30.65,-17.7017,Dutch,1831,Dutch,1.83E+07
29.1483,-19.8533,Dutch,1831,Dutch,1.83E+07
48.5,-8.81667,Dutch,1839,Dutch,1.84E+07
46.1667,-11.2,Dutch,1839,Dutch,1.84E+07
43.6167,-12.0167,Dutch,1839,Dutch,1.84E+07
40.8,-12.9333,Dutch,1839,Dutch,1.84E+07
-12.45,-11.15,Dutch,1840,Dutch,1.84E+07
-11.2833,-12.8667,Dutch,1840,Dutch,1.84E+07
-9.95,-14.75,Dutch,1840,Dutch,1.84E+07
-7.45,-16.7333,Dutch,1840,Dutch,1.84E+07
-6.61667,-18.95,Dutch,1840,Dutch,1.84E+07
-4.55,-21.1,Dutch,1840,Dutch,1.84E+07
-2.51667,-21.95,Dutch,1840,Dutch,1.84E+07
-2.11667,-21.85,Dutch,1840,Dutch,1.84E+07
-1.78333,-22,Dutch,1840,Dutch,1.84E+07
-0.833333,-22.05,Dutch,1840,Dutch,1.84E+07
1.31667,-22.0333,Dutch,1840,Dutch,1.84E+07
2.91667,-22.2833,Dutch,1840,Dutch,1.84E+07
4.15,-22.8,Dutch,1840,Dutch,1.84E+07
5.63333,-24.3,Dutch,1840,Dutch,1.84E+07
6.88333,-26.0833,Dutch,1840,Dutch,1.84E+07
7.75,-27.7,Dutch,1840,Dutch,1.84E+07
9.01667,-29.05,Dutch,1840,Dutch,1.84E+07
11.2833,-30.2833,Dutch,1840,Dutch,1.84E+07
50.1667,-3.26667,Dutch,1839,Dutch,1.84E+07
49.9667,-4.48333,Dutch,1839,Dutch,1.84E+07
49.8333,-4.88333,Dutch,1839,Dutch,1.84E+07
49.5833,-5.61667,Dutch,1839,Dutch,1.84E+07
49.1167,-6.56667,Dutch,1839,Dutch,1.84E+07
37.4667,-15.15,Dutch,1839,Dutch,1.84E+07
7.31667,-20.6667,Dutch,1839,Dutch,1.84E+07
6.8,-20.0667,Dutch,1839,Dutch,1.84E+07
5.45,-19.5,Dutch,1839,Dutch,1.84E+07
5.4,-18.0833,Dutch,1839,Dutch,1.84E+07
5.25,-17.1833,Dutch,1839,Dutch,1.84E+07
4.46667,-17.7833,Dutch,1839,Dutch,1.84E+07
3.85,-18.1667,Dutch,1839,Dutch,1.84E+07
2.85,-16.8667,Dutch,1839,Dutch,1.84E+07
2.03333,-15.5667,Dutch,1839,Dutch,1.84E+07
0.783333,-17.5333,Dutch,1839,Dutch,1.84E+07
-0.716667,-18.9667,Dutch,1839,Dutch,1.84E+07
2.6,-20.1167,Dutch,1839,Dutch,1.84E+07
4.45,-20.7833,Dutch,1839,Dutch,1.84E+07
7.28333,-22.5833,Dutch,1839,Dutch,1.84E+07
-10.05,-22.5,Dutch,1839,Dutch,1.84E+07
-12.5833,-23.0333,Dutch,1839,Dutch,1.84E+07
-15.05,-23.6167,Dutch,1839,Dutch,1.84E+07
-17.7,-23.8,Dutch,1839,Dutch,1.84E+07
-20.85,-24.0167,Dutch,1839,Dutch,1.84E+07
-38.4333,35.85,Dutch,1837,Dutch,1.84E+07
-38.5,40.1167,Dutch,1837,Dutch,1.84E+07
-38.8167,44.8,Dutch,1837,Dutch,1.84E+07
-38.9667,48.5167,Dutch,1837,Dutch,1.84E+07
3.01667,-23.1667,Dutch,1839,Dutch,1.84E+07
-32.55,31.0167,Dutch,1839,Dutch,1.84E+07
-35.7,29.2167,Dutch,1839,Dutch,1.84E+07
-34.1167,28.25,Dutch,1839,Dutch,1.84E+07
-35.5167,23.9333,Dutch,1839,Dutch,1.84E+07
-6.13333,-28.1833,Dutch,1846,Dutch,1.85E+07
-10.4167,-30.2667,Dutch,1846,Dutch,1.85E+07
-12.6833,-30.6333,Dutch,1846,Dutch,1.85E+07
-16.45,-30.3833,Dutch,1846,Dutch,1.85E+07
-19.85,-28.7167,Dutch,1846,Dutch,1.85E+07
-22.4167,-26.7833,Dutch,1846,Dutch,1.85E+07
-25.3,-24.3333,Dutch,1846,Dutch,1.85E+07
-27.8667,-21.8833,Dutch,1846,Dutch,1.85E+07
-30.5833,-18.3167,Dutch,1846,Dutch,1.85E+07
-31.3667,-14.3833,Dutch,1846,Dutch,1.85E+07
-31.0167,-11.6333,Dutch,1846,Dutch,1.85E+07
-29.6333,-12.5667,Dutch,1846,Dutch,1.85E+07
-31.4167,-10.3333,Dutch,1846,Dutch,1.85E+07
-32.05,-10.1167,Dutch,1846,Dutch,1.85E+07
-32.5333,-6.46667,Dutch,1846,Dutch,1.85E+07
-31.8333,-3.4,Dutch,1846,Dutch,1.85E+07
-31.2333,0.183333,Dutch,1846,Dutch,1.85E+07
-33.4833,99.0333,Dutch,1846,Dutch,1.85E+07
-30.7667,100.717,Dutch,1846,Dutch,1.85E+07
-28.95,101.183,Dutch,1846,Dutch,1.85E+07
